,exchange,symbol,timestamp_ms,datetime_utc,datetime,open,high,low,close,volume,pct_chg_on_close,year,month,day,hour,minute,dayofweek,week_of_month,apac_trading_hr,emea_trading_hr,amer_trading_hr,apac_session_high,emea_session_high,amer_session_high,apac_session_low,emea_session_low,amer_session_low,apac_session_open,apac_session_close,emea_session_open,emea_session_close,amer_session_open,amer_session_close
0,OKX,BTC/USDT:USDT,1704038400000,2023-12-31 16:00:00+00:00,2024-01-01 00:00:00,42469.9,42723.1,42442.3,42609.8,3624.59,,2024,1,1,0,0,0,0,False,True,True,,,,,,,,,42469.9,42609.8,42469.9,
1,OKX,BTC/USDT:USDT,1704042000000,2023-12-31 17:00:00+00:00,2024-01-01 01:00:00,42609.8,42672.4,42473.9,42630.6,2829.69,0.00048815061323903564,2024,1,1,1,0,0,0,False,False,True,,42723.1,42723.1,,42442.3,42442.3,,,42469.9,42609.8,42469.9,
2,OKX,BTC/USDT:USDT,1704045600000,2023-12-31 18:00:00+00:00,2024-01-01 02:00:00,42630.6,42742.9,42542.9,42673.8,2097.12,0.0010133566030035013,2024,1,1,2,0,0,0,False,False,True,,42723.1,42723.1,,42442.3,42442.3,,,42469.9,42609.8,42469.9,
3,OKX,BTC/USDT:USDT,1704049200000,2023-12-31 19:00:00+00:00,2024-01-01 03:00:00,42673.8,42705.0,42593.7,42627.7,2055.54,-0.0010802881393268127,2024,1,1,3,0,0,0,False,False,True,,42723.1,42742.9,,42442.3,42442.3,,,42469.9,42609.8,42469.9,
4,OKX,BTC/USDT:USDT,1704052800000,2023-12-31 20:00:00+00:00,2024-01-01 04:00:00,42627.6,42693.0,42511.1,42565.5,2061.97,-0.001459145109869775,2024,1,1,4,0,0,0,False,False,True,,42723.1,42742.9,,42442.3,42442.3,,,42469.9,42609.8,42469.9,
5,OKX,BTC/USDT:USDT,1704056400000,2023-12-31 21:00:00+00:00,2024-01-01 05:00:00,42565.4,42690.1,42528.4,42528.4,2006.4,-0.0008715978903102162,2024,1,1,5,0,0,0,True,False,True,,42723.1,42742.9,,42442.3,42442.3,42565.4,,42469.9,42609.8,42469.9,42528.4
6,OKX,BTC/USDT:USDT,1704060000000,2023-12-31 22:00:00+00:00,2024-01-01 06:00:00,42528.4,42614.1,42080.0,42274.7,4429.59,-0.005965425456871287,2024,1,1,6,0,0,0,True,False,False,42690.1,42723.1,42742.9,42528.4,42442.3,42442.3,42565.4,,42469.9,42609.8,42469.9,42528.4
7,OKX,BTC/USDT:USDT,1704063600000,2023-12-31 23:00:00+00:00,2024-01-01 07:00:00,42274.6,42363.6,42080.4,42297.7,4150.87,0.0005440606320092911,2024,1,1,7,0,0,0,True,False,False,42690.1,42723.1,42742.9,42080.0,42442.3,42442.3,42565.4,,42469.9,42609.8,42469.9,42528.4
8,OKX,BTC/USDT:USDT,1704067200000,2024-01-01 00:00:00+00:00,2024-01-01 08:00:00,42297.7,42567.0,42266.1,42476.0,3312.25,0.004215359227570437,2024,1,1,8,0,0,0,True,False,False,42690.1,42723.1,42742.9,42080.0,42442.3,42442.3,42565.4,,42469.9,42609.8,42469.9,42528.4
9,OKX,BTC/USDT:USDT,1704070800000,2024-01-01 01:00:00+00:00,2024-01-01 09:00:00,42476.0,42805.1,42432.0,42630.0,4156.56,0.003625576796308483,2024,1,1,9,0,0,0,True,False,False,42690.1,42723.1,42742.9,42080.0,42442.3,42442.3,42565.4,,42469.9,42609.8,42469.9,42528.4
